"metro","per_point_diff","T.or.B","X..Fair.or.Poor.Health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","X..Smokers","X..Physically.Inactive","Violent.Crime.Rate","Income.Ratio","X..Children.in.Single.Parent.Households","X..Unemployed","X..Vaccinated","X..Uninsured","X..Children.in.Poverty","Life.Expectancy","Median.Household.Income","X..bachelor.degree","X..High.school.degree","X..Households.with.a.broadband.Internet","Persons.per.household","label"
"yes",-0.251208288715886,"Biden",18.993225668,3.7942604668,4.0907123218,17.829695011,25,306.02552474,4.0468982104,32.142474271,3.5196743926,45,14.934175302,16.6,77.839585406,62915,0.282,0.878,0.803,2.89,"Medium"
"no",0.0501156515034695,"Trump",27.234993374,5.2767402021,4.9509994259,23.924941661,28.1,776.9145394,5.7086107578,52.574525745,3.9112534309,33,13.911965282,40.8,73.039393215,40011,0.151,0.804,0.491,2.5,"Medium"
"yes",0.755725190839695,"Trump",26.214964641,5.0600037135,4.8729379008,23.170767169,27.3,86.270643333,5.2945021425,17.707150965,2.776322682,41,25.102639296,31,83.581382765,40408,0.097,0.742,0.474,2.55,"Low"
"yes",0.49548636406829,"Trump",16.758498712,3.8555372899,4.426561676,19.674660728,31.7,118.39756843,3.8571105146,19.024269133,2.8780472013,42,13.544278316,11.9,76.488185614,71628,0.2,0.883,0.807,2.84,"Low"
"no",0.364954748664268,"Trump",24.354851746,4.94714179,5.0238052574,23.148546288,39.2,358.8115336,4.9501918079,35.903556935,3.9958213633,33,18.006886773,29.5,75.09341708,40962,0.116,0.784,0.6,2.5,"Medium"
"no",0.385796948974224,"Trump",26.69444374,5.2871130758,5.1956378634,25.212711388,28.9,371.15828543,5.3194177969,42.283072546,5.3095209364,35,15.88211913,30.6,72.374631486,38529,0.13,0.786,0.693,2.58,"Low"
"no",0.368259948198729,"Trump",26.874136727,5.2167756628,5.0573393217,23.841691884,25.5,160.33427267,6.0353661933,41.68743325,3.3730974907,45,17.782773308,36,75.961909902,41425,0.158,0.762,0.691,2.53,"Medium"
"no",0.646440837766853,"Trump",18.089799267,4.3654290964,4.6016334707,20.296271589,30.4,124.32914068,4.2289178846,24.068835455,3.3009034051,48,19.233103448,22.7,77.484900578,47980,0.218,0.866,0.832,2.42,"Medium"
"yes",0.0679778870461428,"Trump",12.638650316,3.0824544746,3.6119178553,12.728475424,20.2,73.496386428,4.0469756223,17.065445526,2.9818056394,52,10.7960508,7.1,81.147419707,94563,0.462,0.953,0.901,2.77,"High"
"yes",0.41094796932827,"Trump",21.970937582,4.6203384206,4.8274773688,21.161593726,32.8,338.34352002,4.7172374483,28.860310421,3.8261145343,50,17.191977077,24.1,75.155579137,50520,0.209,0.824,0.778,2.61,"Medium"
"yes",0.331874318503453,"Trump",11.953622443,3.0114374116,3.5013056138,12.228497821,17.1,55.320108741,3.9241131843,10.400075545,2.7351813624,53,10.684941898,5.1,82.311960582,113332,0.531,0.93,0.938,2.97,"Medium"
"no",0.69447282861124,"Trump",23.038643901,4.9446064675,4.9601364556,23.869852333,26.5,145.43482548,5.197941966,30.84807074,3.5204184269,52,19.153824601,25.7,73.855534844,47691,0.159,0.823,0.68,2.62,"Low"
"yes",-0.463869303656695,"Biden",14.798447711,3.2872388966,3.7119718744,13.287735617,20.6,763.18918796,5.9484575153,36.552436669,3.4740750583,50,13.674451238,21.8,79.624634916,79235,0.529,0.926,0.856,2.44,"High"
"no",0.635219364599092,"Trump",19.996144757,4.3933044605,4.5993434486,21.360131722,32.1,270.85404738,4.4122503575,29.872096937,3.5157238007,48,24.672603457,25.7,76.934230132,57007,0.204,0.817,0.768,2.51,"Medium"
"no",0.796805111821086,"Trump",23.74100551,5.0563125856,5.2156410863,25.153593864,22.6,90.760573607,5.0596199663,48.755490483,3.6949685535,40,14.596145961,20.8,74.227802239,49350,0.116,0.782,0.656,2.63,"Low"
"yes",0.231851957702201,"Trump",18.039118696,4.0192178032,4.387415423,18.563161232,30.2,479.35701285,5.2278018408,34.303702109,3.3193544288,46,17.643351291,25.9,77.437436268,58017,0.299,0.881,0.779,2.43,"Medium"
"no",0.625015603545125,"Trump",22.961889195,4.7560406988,4.831813481,22.665294024,34.4,273.87728157,4.4323224301,27.57345095,3.3993422934,49,20.643609521,16.2,75.718635888,53373,0.147,0.779,0.723,2.75,"Low"
"no",0.318950219482582,"Trump",24.367990057,4.9161794126,4.9842132319,22.959662466,36.7,193.56877617,5.3789911536,29.127320091,3.4070245957,42,20.798383022,29.1,76.32448775,42603,0.139,0.801,0.703,2.7,"Medium"
"no",0.264941302027748,"Trump",22.054498939,4.4860877691,4.659764454,20.395860981,36.1,252.28255646,5.9161611139,45.631067961,3.8516405136,52,19.729379355,27.6,78.34861511,60973,0.269,0.853,0.715,2.4,"Medium"
"yes",-0.182584059339698,"Biden",16.665818714,3.5947282001,3.669155139,13.704543539,25.3,221.31215355,3.920193144,21.36027001,3.0081084945,48,18.061413441,13.1,81.221645461,72225,0.369,0.877,0.886,3.1,"Medium"
"no",0.639958886006559,"Trump",21.135184896,4.6416399418,4.7431514408,21.175832466,25.3,181.4529934,4.6901296508,18.150924538,3.4506266716,47,20.022660585,20,77.639270142,51296,0.193,0.796,0.71,2.8,"Medium"
"yes",0.432419894628715,"Trump",20.564977813,4.1309565209,4.2323891011,17.382023186,25,315.91284842,4.2323118204,22.602861022,2.7816697857,50,20.899820602,21.8,79.469913098,66698,0.245,0.791,0.858,3.06,"Medium"
"no",-0.438718998314471,"Biden",31.11028534,5.3833617756,4.9472712051,26.625823508,23.8,334.12887828,4.7369094866,73.894557823,5.5169595423,35,13.748553799,43.5,75.681611131,31715,0.086,0.742,0.477,2.03,"Medium"
"yes",0.739786606766812,"Trump",20.471623706,4.6771786095,4.9974482363,22.950353227,26.3,639.87446604,5.3283566397,26.58623137,3.312893207,37,15.712074303,20.2,74.381829679,49020,0.148,0.812,0.769,2.56,"Low"
"yes",0.443299484768146,"Trump",14.346758646,3.4472556607,4.0070572207,15.727186391,20,123.70378289,4.3022915499,18.167159366,3.0632470419,44,11.877160138,10.5,79.361516044,74052,0.314,0.922,0.832,2.76,"Medium"
"no",0.495600251414205,"Trump",23.077362692,4.7855396793,4.9980232807,23.53561545,26,347.00631832,4.712732337,20.302457467,3.5388834823,53,17.784522003,21.2,78.359466719,50647,0.157,0.815,0.701,2.52,"Low"
"yes",0.685020393029292,"Trump",21.461037636,4.6996989483,5.0069942887,23.214433829,28.6,195.76282246,4.1934580816,24.418604651,3.3346036585,42,14.931379631,24.7,75.793059804,48984,0.087,0.797,0.715,2.57,"Low"
"yes",-0.204751296769053,"Biden",17.491626623,3.8626934518,3.9167054054,16.938898335,24.8,175.8040961,3.5135197397,29.442057158,3.5378154898,45,13.695557663,12.8,77.564353779,72927,0.285,0.912,0.884,2.95,"Medium"
"yes",0.124281781982415,"Trump",18.779018724,3.9586076022,4.4103500427,18.19079475,26.9,361.57675303,4.4153151775,29.893763025,3.3264624351,39,12.003875825,16,77.334149502,65641,0.283,0.916,0.836,2.66,"Medium"
"no",0.510076775431862,"Trump",25.547558428,5.1753785733,5.0505035246,24.685399546,31.2,258.30059732,5.0963290461,32.115009747,4.6875,41,14.866262746,29.2,73.43718528,42317,0.151,0.815,0.62,2.75,"Low"
"no",0.580225613802256,"Trump",17.314298536,4.0444504143,4.6879420089,19.625012774,31.9,222.39244854,4.1471323452,18.659010498,2.6507475765,52,15.464432638,12.3,77.314428608,66645,0.227,0.841,0.793,2.89,"Medium"
"yes",0.531266352694924,"Trump",23.881017311,5.0195341889,5.1581660868,24.44713619,27.9,411.58971433,4.129708845,28.324591176,3.0696065716,50,19.536510713,19.8,76.421863242,59207,0.142,0.828,0.733,2.67,"Low"
"no",0.635418471668688,"Trump",26.041381022,5.261455532,5.1887969828,24.937921481,29.9,347.83772033,4.6520824032,40.249376559,4.6108081309,37,19.561007101,32.4,74.060988604,40603,0.103,0.793,0.613,2.82,"Low"
"no",-0.0682026443251735,"Biden",27.035201826,5.2276810353,5.1602890071,23.994520841,29.8,508.22692332,5.6376657017,54.321322135,4.7474132684,26,18.219427437,35.6,72.804868911,35379,0.099,0.764,0.603,2.66,"Medium"
"no",0.25904486251809,"Trump",28.13417819,5.3886386257,5.0234846308,25.445054777,22.3,321.432754271808,4.8055231427,49.745934959,5.0906776965,28,17.48496994,37,74.684862898,32808,0.079,0.793,0.573,2.53,"Low"
"no",0.397073170731707,"Trump",25.391411257,5.0803426855,4.9782065383,24.94028046,38.4,373.6521832,5.7479540609,35.2180937,3.6422200198,41,15.852885225,31.6,75.413986242,37771,0.091,0.751,0.6,2.68,"Low"
"yes",0.338690237042989,"Trump",20.001971719,4.4255346031,4.7082504367,20.352924955,30.1,98.922451864,4.3073517924,33.916031675,3.1688084112,50,14.023843097,17,78.33093768,56819,0.196,0.891,0.79,2.65,"Medium"
"yes",0.410281923714759,"Trump",21.393558047,4.4995687618,4.7744011798,21.892154761,29.3,495.52339659,5.5509764139,31.347150259,3.8629737609,47,15.169235003,21.4,74.710125004,57402,0.158,0.87,0.71,2.69,"Low"
"yes",0.416666666666667,"Trump",22.959395001,4.6679301816,4.8384164978,22.733664775,38.9,383.38045718,7.182614671,28.314864348,3.9220917823,32,15.650145773,28.6,75.758657741,42667,0.165,0.8,0.568,2.71,"Low"
"no",0.282389688091153,"Trump",24.525154601,4.954550097,5.1037090413,24.032168203,37.3,358.92015678,5.8316990055,42.75102459,4.5606519695,44,15.786559806,31.4,74.111769032,42018,0.162,0.859,0.602,2.71,"Medium"
"yes",0.445674285030513,"Trump",17.067101898,3.8179910182,4.2694726523,17.75996039,22,174.70099253,3.4767878427,20.496417605,3.0508935245,44,11.729103208,13.5,75.970301437,72425,0.254,0.909,0.84,2.78,"Medium"
"yes",-0.240487987286155,"Biden",22.180102351,4.5776043338,4.5459232683,19.311280302,35.3,478.32962261,3.4618742724,34.628075253,3.7438687922,32,13.088907198,21.7,76.083875208,51410,0.183,0.907,0.87,2.53,"Low"
"yes",0.375134669252316,"Trump",21.738256195,4.6233347538,4.7955442468,22.237296574,29.9,417.64552336,5.9997255951,38.420703384,3.85481148,47,16.79312089,26.4,78.140732436,45299,0.159,0.821,0.532,2.23,"Medium"
"yes",0.263744033940251,"Trump",22.483232893,4.5738695259,4.7623994094,21.401952239,31,95.47611693,3.9234565836,28.408875403,3.6377043136,31,17.77551753,21.7,82.125858911,52051,0.174,0.877,0.808,3.26,"Low"
"yes",0.120289073454859,"Trump",21.890837413,4.417082336,4.7555518458,19.954685841,30.1,279.97415623,6.1633605601,35.527316172,3.5248143806,38,17.49011132,28.6,76.154317589,46450,0.253,0.866,0.661,2.69,"Low"
"no",0.581868521022471,"Trump",19.359068096,4.4070750644,4.8496753636,21.007896086,29,41.419081452,4.5075594939,17.717666948,3.1042526467,49,18.860977007,17.2,77.595977549,57078,0.264,0.848,0.813,2.67,"Low"
"yes",0.191391678622669,"Trump",25.120363936,5.0798699936,5.1394171368,23.416098939,36,154.1086466,5.0324278541,59.478935698,5.0835969272,51,14.578417266,29.4,73.347399744,44473,0.088,0.736,0.593,2.4,"Medium"
"yes",0.209677419354839,"Trump",21.267859309,4.5300314293,4.7480681241,21.248615183,29.3,138.41362605,5.1747991913,22.02606137,3.5511593968,43,17.853696198,31.5,81.442449996,46682,0.185,0.832,0.737,2.7,"Medium"
"no",-0.230538280077204,"Biden",29.647675326,5.3616676242,5.0380077581,25.248761348,42.6,310.55900621,5.2397848599,52.466718872,4.623907948,37,19.561304837,41,73.192431285,34634,0.134,0.778,0.559,2.45,"Medium"
"yes",0.529892213965321,"Trump",20.521357825,4.5173500772,4.7343215062,22.037324767,29.7,191.18389727,4.3780812201,30.80936056,3.0492395724,49,18.679602072,25.1,76.419005,52326,0.14,0.834,0.648,2.59,"Medium"
"yes",0.265655172413793,"Trump",24.071911381,4.7797909763,4.8713514481,22.915645328,33.6,57.10370032,4.2022638316,29.763866008,4.2360060514,40,16.557501904,32.4,76.563526112,41190,0.176,0.852,0.723,2.33,"Low"
"yes",0.205663326284821,"Trump",24.744326607,5.0647391289,5.0952622105,23.333733543,38.3,321.27913927,5.0231329338,44.054409829,4.5000561104,42,17.415388361,31.1,74.075406232,43571,0.104,0.797,0.6,2.58,"Medium"
"no",0.465067043048694,"Trump",22.328720923,4.7081111752,4.9338434555,22.528790134,30.2,188.21113868,5.2675043761,35.249621785,3.2739177883,35,16.80865761,31.3,71.28716421,41769,0.14,0.826,0.48,2.4,"Medium"
"no",0.105110466413747,"Trump",27.314467524,5.1889940518,5.1472376999,24.656962941,30.5,262.40298873,4.2157643793,45.673453406,4.558910598,38,17.710317704,42.3,73.211792846,37383,0.097,0.772,0.685,2.5,"Medium"
"yes",0.427966645285439,"Trump",18.858672691,4.1999237202,4.5605469209,19.919512558,37.2,178.27932879,6.4516390125,23.092224231,3.2397075798,46,14.286378429,15.6,77.755760379,70488,0.268,0.857,0.776,2.67,"Medium"
"no",0.499117721199899,"Trump",22.372239004,4.6598278282,4.7629865873,22.089320524,31.6,321.432754271808,5.3644901326,29.641519529,5.2534804308,35,18.327402135,27.2,75.791389399,43657,0.16,0.817,0.757,2.66,"Low"
"yes",0.416709379805228,"Trump",17.357975597,3.9306943788,4.3776068193,18.690192177,23,176.13903241,4.3492719819,19.347152728,3.1060606061,46,14.932852275,17.2,78.083585829,67089,0.207,0.877,0.765,2.64,"Medium"
"yes",0.691597894600039,"Trump",23.778461256,5.0501288033,5.0453657643,23.586955155,31.9,447.67980114,3.7629545554,21.52538944,5.0306352789,49,21.326886919,20.8,76.043266793,50061,0.101,0.707,0.775,2.74,"Low"
"yes",-0.240194251931341,"Biden",21.075335761,4.248895845,4.7579067579,19.361257905,27.2,566.92058711,5.3491237988,40.272216113,4.533488192,40,14.463284553,25.4,74.277825204,47035,0.258,0.88,0.784,2.59,"Medium"
"yes",-0.109156617619943,"Biden",21.607550745,4.3593169051,4.5688874816,19.55249975,31.4,396.49067627,4.3657793725,31.250219306,3.8507960228,49,15.957913665,17.5,76.3217472,58222,0.198,0.866,0.855,2.88,"Medium"
"yes",0.335068340750159,"Trump",11.737130678,3.0781802398,3.6843232444,13.333255978,24.1,114.12308386,3.9675158444,17.346737631,2.5422860072,55,11.028515358,6.6,81.367169096,100878,0.523,0.945,0.895,2.82,"High"
"yes",0.387679822943563,"Trump",21.581684195,4.7525091623,4.8412291796,22.054484697,39.4,357.67815779,4.4891029142,24.835427887,3.2183576274,51,20.322847682,18.9,79.060662637,54346,0.171,0.797,0.657,2.62,"Medium"
"yes",0.290751065923254,"Trump",17.191653658,3.9317231418,4.1829829461,17.391660228,25.5,143.32230346,3.4627265654,20.21229024,2.9319335165,46,13.696140494,9.3,78.859805514,76580,0.226,0.894,0.856,2.99,"Low"
"yes",0.0465227435672748,"Trump",22.591158348,4.644280463,4.6439904812,20.713919611,37.2,514.94270092,5.9070944877,34.792465992,4.0842212075,41,16.31713555,27,74.552979952,49815,0.205,0.83,0.742,2.49,"Medium"
"yes",0.657424127686841,"Trump",16.456685208,4.0172658044,4.4777499298,18.909033138,27,226.126595,4.0471757542,18.717586044,2.9795036343,52,15.977353036,17.8,77.518649332,66183,0.231,0.853,0.857,2.62,"Medium"
"no",0.751409306952581,"Trump",21.517534233,4.662973571,4.7589020293,22.536797086,37.7,324.81990832,4.5734079698,30.767630539,3.3800873764,43,17.235537709,23.7,75.237715132,46701,0.126,0.834,0.641,2.71,"Low"
"yes",0.711007462686567,"Trump",17.406716915,4.1231549738,4.5217944603,20.147042018,27.3,93.262491522,3.8914176035,10.598648963,3.0115743342,42,13.947656099,12,76.036872854,74905,0.171,0.882,0.771,2.94,"Low"
"no",0.570820878362842,"Trump",23.261456231,4.9112129212,4.8528561681,22.706947823,32.7,568.9745114,4.5067429709,30.75574421,3.6247219057,47,18.846285519,22.7,73.759376741,47896,0.137,0.788,0.745,2.77,"Low"
"yes",0.388385199705954,"Trump",24.771123954,5.0291245155,5.1557993603,23.415632281,35.4,632.25058005,5.2491582492,36.292428198,3.8499506417,38,15.608572584,27.6,78.985165296,42274,0.132,0.811,0.706,2.62,"Low"
"no",0.408519611978068,"Trump",20.513421311,4.554619518,4.5718597356,20.471785522,27.9,422.47274934,4.1570133964,38.793492996,4.3249847282,49,18.970804711,27.5,79.258942022,62282,0.234,0.876,0.757,2.41,"Medium"
"no",0.096745027124774,"Trump",27.757255669,5.2917770658,5.1590606591,25.169293237,26.6,152.07473387,5.3840334148,54.625550661,5,38,19.315245478,36,70.930587021,35522,0.071,0.647,0.545,2.72,"Low"
"no",0.57378762541806,"Trump",20.5894707,4.5375319628,4.7143773093,21.339974129,23.1,125.9678014,4.3081490779,25.154939847,3.5234899329,46,22.005547617,20.9,78.728468161,46639,0.242,0.848,0.737,2.43,"Medium"
"no",-0.0914415880247315,"Biden",31.233113305,5.7183998674,5.3578744871,26.462819129,23.5,253.48542459,3.4839237771,75.098591549,4.8278591215,29,16.351295763,37.5,75.747509533,33505,0.103,0.745,0.709,2.66,"Medium"
"yes",-0.371674194623545,"Biden",24.531217587,4.9477229831,4.6210428872,21.480454305,28.6,428.73782558,5.1480177281,49.005584192,4.5166598108,39,15.995987139,34.4,74.103561692,44810,0.214,0.841,0.758,2.69,"Medium"
"yes",-0.407846735748976,"Biden",20.647833092,4.1195846137,4.2938593268,17.341954472,32.9,300.47839323,4.0254619834,38.137035378,3.7764519229,47,16.319225928,18.8,77.316196099,60281,0.263,0.888,0.817,2.86,"Medium"
"no",0.588131868131868,"Trump",21.8676921,4.6661692941,4.9492381048,21.79171502,22.5,155.0838422,5.4875749251,30.354267311,3.8636363636,43,15.813953488,23.3,81.084820513,51129,0.133,0.876,0.725,2.8,"Low"
"no",0.189225894069715,"Trump",24.028973092,4.8466032662,4.8683451205,23.620547836,36.3,341.75334324,5.2252410698,43.875127248,5.4048742138,32,16.003700278,33,75.073531192,42331,0.154,0.835,0.711,2.66,"Medium"
"no",0.349022633744856,"Trump",23.031034803,4.7112026151,5.0211832415,22.486048071,23.1,260.62322946,5.3460561543,44.880046811,4.4122489299,33,17.4190461,36.2,74.304827153,38618,0.162,0.86,0.627,2.44,"Medium"
"yes",0.207738903048558,"Trump",23.346670596,4.9047104076,4.801048007,22.161447981,35.9,584.59422283,4.1213216553,40.303693218,3.9930252833,45,17.297164182,29,74.652252957,49237,0.178,0.819,0.695,2.63,"Medium"
"no",0.587379049221708,"Trump",20.217828063,4.5852995557,4.8180176666,21.010821585,30.1,275.95655152,4.8752620009,22.434450425,3.8558727188,49,16.697384807,23.2,73.020052375,45416,0.21,0.821,0.692,2.62,"Medium"
"no",-0.191457286432161,"Biden",34.30301521,5.6770534029,4.8346076526,25.080929485,36.9,22.914757104,5.5560983423,56.957087126,4.1736227045,44,18.060836502,36.4,74.123963896,34566,0.122,0.681,0.616,2.26,"Low"
"no",-0.0478268027658874,"Biden",25.520517337,4.9547890008,4.896717159,22.398843642,29.5,696.18169849,5.3045192992,44.159253318,4.8005675548,45,17.055043064,38.4,73.359142581,40250,0.183,0.814,0.675,2.43,"Medium"
"no",-0.204997160704145,"Biden",25.966467962,4.9781035287,4.9070508516,23.369230721,29.9,89.781260202,4.7836676218,54.503676471,4.4696700958,42,15.87470701,33.1,75.692458286,41045,0.121,0.823,0.56,2.24,"Medium"
"no",-0.216594827586207,"Biden",29.195644189,5.3507534832,5.1329206891,25.608190074,27.3,178.41213202,4.039696439,30.705394191,4.9382716049,36,18.782161235,35.3,76.2923717647341,37046,0.081,0.71,0.491,2.71,"Medium"
"no",0.487721441661576,"Trump",26.158240741,5.1733086533,4.9733972442,24.585921044,37,105.20999916,4.9195230202,38.589051658,3.8284518828,36,19.682632971,33.6,75.891607098,41457,0.132,0.758,0.728,2.31,"Low"
"no",0.268610098906819,"Trump",27.175238955,5.3482712164,5.2700491564,25.332623116,38.5,174.15325486,4.8301371831,37.975460123,4.0338321405,40,16.40262442,32.1,75.106961594,28234,0.126,0.785,0.614,2.3,"Medium"
"no",0.308491001384402,"Trump",30.463208714,5.3673674186,5.0743230447,25.62740207,36.8,191.80642306,4.839883919,37.46257485,9.520331142,39,16.483068135,34,79.40731571,36264,0.086,0.703,0.348,2.74,"Low"
"yes",-0.0842391304347825,"Biden",28.107518128,5.2822842889,5.1147638273,24.441283279,33.1,377.7987666,5.7839497558,51.233958539,5.0427350427,40,16.595419847,39.8,74.214835749,37122,0.112,0.775,0.721,2.47,"Medium"
"no",0.194815288953914,"Trump",22.093634811,4.5873187486,4.5300440277,21.441241335,30,264.48665545,5.0027779207,37.510608204,4.0255009107,49,17.047846219,25,75.267978393,47978,0.247,0.849,0.79,2.49,"Medium"
"no",0.335770010442902,"Trump",23.485545351,4.9076201195,4.7748010574,21.579569036,33.7,564.85355649,4.8207236842,40.185240514,3.3567920612,50,19.73099666,31,74.967784288,47764,0.181,0.819,0.647,2.54,"Medium"
"no",0.452171522814733,"Trump",25.518733689,5.0619233067,4.9753673119,23.563143313,35.7,424.61165177,5.8763377708,36.420964126,4.9420849421,36,18.695612763,29.7,74.544067686,41442,0.162,0.801,0.712,2.65,"Low"
"no",0.60584033086853,"Trump",17.502413238,4.0584704244,4.5266170497,19.261716275,25.4,320.25259359,4.0814466752,27.171646977,4.8291805805,49,17.722280728,19.2,77.986097469,49023,0.301,0.899,0.768,2.2,"Medium"
"no",0.373415664608385,"Trump",24.158100007,4.981387787,4.869485232,23.981128554,30.2,122.16641781,5.566249272,30.034129693,5.2611657835,41,17.427466151,47.8,75.677810906,37478,0.124,0.737,0.639,2.53,"Low"
"no",0.218491030718541,"Trump",21.98647934,4.5029885173,4.7595618591,21.700860365,31.3,332.15234721,5.9088142121,36.813346509,3.1819644006,42,14.270687237,27.3,75.731863485,47296,0.19,0.834,0.731,2.74,"Low"
"no",0.247955684515959,"Trump",25.880324173,5.067108571,4.9642920694,23.878155602,40,1306.9770466,7.9224748416,46.169772257,3.8228735266,49,17.737054472,43,72.825085612,35400,0.117,0.812,0.629,2.39,"Medium"
"yes",0.0733573357335734,"Trump",27.304805838,5.2677021432,5.2292342017,25.522816882,30.3,222.03552568,5.9121880263,43.018159048,5.4204308548,40,17.613910803,30.4,72.354503183,44079,0.118,0.742,0.598,2.68,"Medium"
"no",0.633114796246304,"Trump",17.19403812,4.0171271204,4.5358787355,18.949151133,27.1,165.39786116,4.6009745272,22.979397781,3.1243916683,50,18.829612814,19.4,79.694325856,57049,0.225,0.89,0.753,2.33,"Medium"
"no",0.34118558698179,"Trump",23.617947115,4.9127447316,5.0091498161,23.618760019,32.8,381.16549409,4.8597754967,34.673449294,3.5689045936,43,14.557595993,28.6,72.750472614,40926,0.134,0.823,0.691,2.53,"Medium"
"yes",0.592866389589153,"Trump",20.569156404,4.5681106904,4.8348571558,22.910302473,35.5,555.5718863,4.5328125777,30.608730211,3.5589004401,47,14.753684362,20.1,75.448400928,47548,0.166,0.82,0.775,2.6,"Low"
"yes",0.492357074354608,"Trump",18.316535952,3.9761933759,4.4361141092,19.931783766,32.5,302.26098044,4.2948187879,27.102190739,3.0644845798,49,15.36414227,16.7,76.852982502,67007,0.217,0.869,0.822,2.86,"Medium"
"no",0.404115864402002,"Trump",23.881444844,4.9212272582,4.9286767001,23.186873048,37.1,500.01412469,5.1812662071,39.785586659,3.6579877853,43,15.645457889,41.9,73.704495416,37642,0.152,0.814,0.674,2.39,"Low"
"no",-0.113962264150943,"Biden",28.267419951,5.3097371866,5.0736769948,24.640242909,21.8,277.77777778,5.2572263465,58.529945554,4.5373980858,48,14.974874372,40.3,75.733672579,37313,0.123,0.732,0.465,2.32,"Medium"
"no",-0.0079138968027857,"Biden",26.005802626,4.9819185377,5.0203072923,23.522154508,36.8,264.31718062,5.212164871,49.163802978,4.1494367603,44,15.0016728,29.2,76.542300225,41674,0.123,0.813,0.631,2.46,"Medium"
"no",0.571171453165349,"Trump",23.568395122,4.9164110517,4.9014112387,23.443649424,29.8,591.02051781,4.3428543043,28.375068046,3.9989476454,43,17.457362999,26.6,73.575480621,47382,0.13,0.834,0.737,2.66,"Low"
"no",0.0776419841840402,"Trump",26.121428024,5.1033518854,4.9881564122,24.33218782,20.1,131.2335958,6.7471389646,38.072669826,4.9652432969,48,15.770791075,28.4,80.262534661,41547,0.147,0.793,0.637,2.29,"Medium"
"no",0.391247264770241,"Trump",28.379802425,5.3955081922,4.8396212286,26.530755915,34.5,50.466818067,5.4726666096,37.12797619,7.4534161491,36,16.361038342,33.6,79.290860613,35927,0.136,0.808,0.399,4.14,"Low"
"no",0.662189524838013,"Trump",17.638863405,4.1786995673,4.5745948991,20.017551465,22.7,173.3132903,3.555682816,24.056522488,2.6435509652,49,17.866226407,17.6,79.410090434,54786,0.227,0.852,0.746,2.49,"Low"
"yes",0.407006473372137,"Trump",26.451513412,4.7056618446,4.7080233001,20.50371977,33.3,263.3816444,3.9088274045,26.858943819,4.4233771004,49,22.138456458,17.6,78.119147358,53115,0.157,0.695,0.802,2.88,"Medium"
"no",0.469960353766392,"Trump",24.886554583,4.847473827,4.6941133064,24.100582397,40.6,257.63930497,5.4489913545,39.627179796,4.452690167,37,17.057609308,38.9,77.247019206,38261,0.122,0.821,0.55,2.61,"Low"
"no",0.131809145129225,"Trump",25.915559297,5.0043323552,4.9232682007,23.67061375,29.5,308.07147258,5.0226173198,39.55365622,4.5252419566,43,19.610494996,31.2,75.507877581,39716,0.138,0.837,0.477,2.45,"Medium"
"no",0.123899371069182,"Trump",24.751724691,4.9178635448,4.8891202724,24.09152119,29.5,179.28031758,5.1986585755,40.144927536,3.8140944683,42,14.921392476,29.4,75.010616534,43902,0.109,0.844,0.589,2.8,"Medium"
"yes",0.477652127086699,"Trump",22.594239243,4.7349022184,4.7955373522,23.166143641,33.7,419.12152129,4.3371431374,43.389607542,3.8777115882,40,18.404491609,31.5,74.627370344,43142,0.11,0.829,0.699,2.54,"Medium"
